date,product7
2020-05-03,100
2020-05-10,90
2020-05-17,46
2020-05-24,44
2020-05-31,36
2020-06-07,35
2020-06-14,21
2020-06-21,39
2020-06-28,40
2020-07-05,26
2020-07-12,34
2020-07-19,42
2020-07-26,36
2020-08-02,42
2020-08-09,32
2020-08-16,45
2020-08-23,49
2020-08-30,42
2020-09-06,51
2020-09-13,61
2020-09-20,49
2020-09-27,21
2020-10-04,50
2020-10-11,35
2020-10-18,21
2020-10-25,47
2020-11-01,43
2020-11-08,57
2020-11-15,46
2020-11-22,55
2020-11-29,55
2020-12-06,38
2020-12-13,42
2020-12-20,76
2020-12-27,45
2021-01-03,44
2021-01-10,57
2021-01-17,44
2021-01-24,44
2021-01-31,72
2021-02-07,59
2021-02-14,48
2021-02-21,41
2021-02-28,34
2021-03-07,32
2021-03-14,43
2021-03-21,34
2021-03-28,26
2021-04-04,45
2021-04-11,14
2021-04-18,28
2021-04-25,37
2021-05-02,33
2021-05-09,29
2021-05-16,32
2021-05-23,26
2021-05-30,22
